"Player","Team","REC","YDS","TDS","FL","FPTS"
"Marcedes Lewis","CHI","10.0","88.0","1.0","0.0","24.8"
"Jared Wiley","KC","9.6","98.8","0.8","0.0","24.2"
"Lucas Krull","DEN","9.6","101.5","0.7","0.0","24.0"
"Ross Dwelley","ATL","8.1","105.5","0.8","0.0","23.6"
"Stone Smartt","LAC","8.7","99.2","0.8","0.0","23.2"
"Payne Durham","TB","9.2","96.8","0.7","0.0","23.2"
"Teagan Quitoriano","HOU","6.5","100.6","1.1","0.0","23.1"
"Quintin Morris","BUF","7.0","73.6","1.1","0.0","20.7"
"James Mitchell","DET","8.0","83.3","0.7","0.0","20.4"
"MyCole Pruitt","PIT","6.2","67.6","1.1","0.0","19.9"
"Harrison Bryant","LV","7.8","77.1","0.6","0.0","19.3"
"Miller Forristall","LAR","7.5","78.3","0.6","0.0","19.1"
"Ben Sims","GB","6.5","56.5","1.1","0.0","18.7"
"Luke Farrell","JAC","7.4","74.9","0.6","0.0","18.2"
"John Bates","WAS","8.1","76.8","0.4","0.0","18.2"
"Giovanni Ricci","CLE","7.3","71.9","0.5","0.1","17.6"
"Cole Turner","WAS","6.0","69.2","0.6","0.0","16.4"
"Lawrence Cager","NYG","7.6","65.9","0.4","0.0","16.3"
"C.J. Uzomah","PHI","6.1","59.1","0.7","0.0","16.2"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","16.2"
"Josiah Deguara","JAC","7.1","60.9","0.4","0.0","15.6"
"Charlie Woerner","ATL","6.1","60.9","0.5","0.0","15.2"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","13.9"
"Charlie Kolar","BAL","5.2","57.8","0.4","0.0","13.4"
"John Stephens Jr.","DAL","4.0","40.9","0.3","0.0","10.1"
"Kenny Yeboah","NYJ","3.8","36.3","0.3","0.0","9.1"
"Grant Calcaterra","PHI","3.7","36.3","0.3","0.0","8.8"
"Mitchell Wilcox","NE","3.6","35.0","0.2","0.0","8.1"
"Nick Vannett","TEN","3.4","34.8","0.2","0.0","7.9"
"Dalton Keene","HOU","2.0","21.1","0.2","0.0","5.2"
"Tre' McKitty","BUF","2.1","20.7","0.2","0.0","5.2"
"Tyler Davis","GB","2.0","20.0","0.2","0.0","5.1"
"Jody Fortson Jr.","MIA","2.1","19.7","0.2","0.0","5.0"
"Shane Zylstra","DET","2.0","20.0","0.2","0.0","5.0"
"Julian Hill","MIA","2.1","19.1","0.2","0.0","5.0"
"Tommy Hudson","NO","2.0","19.4","0.2","0.0","5.0"
"Stephen Carlson","CHI","2.0","19.1","0.2","0.0","4.9"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","4.9"
"Hunter Long","LAR","1.9","19.6","0.2","0.0","4.8"
"Zack Kuntz","NYJ","1.9","17.8","0.2","0.0","4.7"
"Eric Tomlinson","IND","1.8","17.7","0.2","0.0","4.6"
"Cole Fotheringham","LV","1.8","17.4","0.2","0.0","4.6"
"Zach Gentry","LV","1.9","16.5","0.2","0.0","4.5"
"Rodney Williams","PIT","1.7","15.8","0.2","0.0","4.3"
"Nate Adkins","DEN","1.7","15.8","0.2","0.0","4.3"
"Chris Manhertz","NYG","1.9","16.7","0.1","0.0","4.3"
""
""
