,Player,Pos,Team,PASS ATT,PASS CMP,PASS YDS,PASS TD,INTS,RUSH ATT,RUSH YDS,RUSH TD,REC YDS,REC TD,FL
155,Danny Gray,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,94.0,1.0,0.0
156,D.J. Montgomery,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,114.8,0.6,0.0
157,Skyy Moore,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.8,0.0
158,Isaiah Hodgins,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,108.8,0.6,0.0
159,Xavier Hutchinson,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,98.5,0.6,0.0
160,Allen Robinson II,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,100.5,0.7,0.1
161,Jason Brownlee,WR,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94.1,0.7,0.1
162,Rakim Jarrett,WR,TB,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,97.3,0.6,0.0
163,Ashton Dulin,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,90.1,0.8,0.0
164,David Moore,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,100.6,0.6,0.1
165,Braxton Berrios,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100.7,0.5,0.0
166,Devin Duvernay,WR,JAC,0.0,0.0,0.0,0.0,0.0,3.3,16.9,0.1,82.5,0.4,0.1
167,Kayshon Boutte,WR,NE,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,88.1,0.6,0.0
168,Nick Westbrook-Ikhine,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,94.1,0.5,0.0
169,Kyle Philips,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,104.1,0.3,0.0
170,Bo Melton,WR,GB,0.0,0.0,0.0,0.0,0.0,1.1,6.5,0.0,79.3,0.6,0.1
171,John Metchie III,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,81.5,0.5,0.0
172,Tyquan Thornton,WR,NE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,76.7,0.6,0.0
173,Justyn Ross,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1,0.7,0.0
174,Ronnie Bell,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,75.9,0.6,0.0
175,Zach Pascal,WR,ARI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,75.7,0.6,0.0
176,KJ Hamler,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,74.3,0.6,0.0
177,Deonte Harty,WR,BAL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,70.6,0.6,0.0
178,Laviska Shenault Jr.,WR,SEA,0.0,0.0,0.0,0.0,0.0,3.2,28.9,0.1,61.6,0.2,0.1
179,Charlie Jones,WR,CIN,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,76.0,0.5,0.0
180,Michael Woods II,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,68.8,0.6,0.0
181,Isaiah McKenzie,WR,NYG,0.0,0.0,0.0,0.0,0.0,3.8,16.9,0.1,57.1,0.4,0.1
182,Sterling Shepard,WR,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,0.5,0.1
183,Ben Skowronek,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,65.9,0.6,0.0
184,Chris Conley,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,64.9,0.6,0.0
185,Dee Eskridge,WR,SEA,0.0,0.0,0.0,0.0,0.0,4.3,15.4,0.1,64.8,0.3,0.0
186,Malik Heath,WR,GB,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,64.6,0.6,0.0
187,Jalen Guyton,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,67.9,0.5,0.0
188,Jalen Brooks,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1,0.5,0.1
189,Tim Jones,WR,JAC,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56.9,0.6,0.0
190,Jalen Reagor,WR,NE,0.0,0.0,0.0,0.0,0.0,1.0,5.3,0.0,60.6,0.5,0.0
191,Equanimeous St. Brown,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56.7,0.6,0.0
192,Anthony Gould,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.3,0.0
193,Tyler Johnson,WR,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.4,0.1
194,Scotty Miller,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,66.3,0.2,0.0
195,Simi Fehoko,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,0.3,0.0
196,Damiere Byrd,WR,WAS,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,65.0,0.2,0.0
197,Jalen Nailor,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,0.3,0.1
198,Terrace Marshall Jr.,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,61.1,0.1,0.0
199,Phillip Dorsett II,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0.3,0.0
200,Josh Ali,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.3,0.0
201,Racey McMath,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,0.4,0.0
202,Tylan Wallace,WR,BAL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.7,0.1,0.0
203,Ihmir Smith-Marsette,WR,CAR,0.0,0.0,0.0,0.0,0.0,2.1,14.1,0.1,28.6,0.1,0.1
204,River Cracraft,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,0.2,0.0
205,Dareke Young,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,0.3,0.0
206,Easop Winston Jr.,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.3,0.0
207,Denzel Mims,WR,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,0.2,0.0
208,Dax Milne,WR,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.2,0.0
209,Jaelon Darden,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.2,0.0
210,James Proche II,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,0.2,0.0
211,Lil'Jordan Humphrey,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.2,0.0
212,Miles Boykin,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.2,0.0
213,David Sills,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.2,0.0
214,Tre'Quan Smith,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.2,0.0
215,Andy Isabella,WR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.2,0.0
216,Tom Kennedy,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.2,0.0
217,Austin Mack,WR,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.2,0.0
218,Daurice Fountain,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.2,0.0
219,Maurice Alexander,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.2,0.0
220,Antoine Green,WR,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.2,0.0
221,Samori Toure,WR,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.2,0.0
222,Montrell Washington,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.2,0.0
223,Dante Pettis,WR,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.2,0.0
224,Collin Johnson,WR,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.2,0.0
225,Braylon Sanders,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.2,0.0
226,Erik Ezukanma,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.2,0.0
227,Nsimba Webster,WR,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.2,0.0
228,Anthony Schwartz,WR,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.2,0.0
229,Seth Williams,WR,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.2,0.0
230,Shedrick Jackson,WR,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.2,0.0
231,Kwamie Lassiter II,WR,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.2,0.0
232,Velus Jones Jr.,WR,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.2,0.0
233,Elijah Cooks,WR,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.2,0.0
234,Stanley Morgan Jr.,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.2,0.0
235,Cephus Johnson III,WR,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.2,0.0
236,Cody White,WR,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.2,0.0
237,Irvin Charles,WR,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.2,0.0
238,Mason Kinsey,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.2,0.0
239,Colton Dowell,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.2,0.0
240,Malik Taylor,WR,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.2,0.0
241,Lance McCutcheon,WR,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.2,0.0
242,Tyrie Cleveland,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.2,0.0
243,Jacob Harris,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.2,0.0
244,Britain Covey,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.2,0.0
245,DJ Turner,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.2,0.0
246,Kristian Wilkerson,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.2,0.0
247,Juwann Winfree,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.2,0.0
248,Trishton Jackson,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.2,0.0
249,N'Keal Harry,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.2,0.0
250,Cam Sims,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.1,0.0
251,Dez Fitzpatrick,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.2,0.0
252,Jalen Virgil,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.2,0.0
253,Andre Baccellia,WR,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.2,0.0
254,Jalen Camp,WR,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.1,0.0
255,Mike Strachan,WR,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.1,0.0
256,Jeff Smith,WR,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0.1,0.0
257,Gunner Olszewski,WR,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.1,0.0
258,Kawaan Baker,WR,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.1,0.0
259,Quintez Cephus,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0.0
0,Travis Kelce,TE,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4,7.5,0.8
1,Sam LaPorta,TE,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.6,7.9,0.4
2,Mark Andrews,TE,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.1,7.9,0.5
3,George Kittle,TE,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.7,6.0,0.4
4,Kyle Pitts,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.2,5.2,0.4
