"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"848","Elijah Cooks","JAC","12","WR285","","","764","","","764.0"
"849","Jack Podlesny","","","K64","","","765","","","765.0"
"850","Jack Colletto","PIT","9","RB206","","","767","","","767.0"
"851","Isaiah Winstead","","","WR286","","","768","","","768.0"
"852","Griffin Hebert","","","TE146","","","769","","","769.0"
"853","Jacob Copeland","","","WR287","","","770","","","770.0"
"854","Elijah Dotson","","","RB207","","","771","","","771.0"
"855","Rakim Jarrett","TB","11","WR288","","","772","","","772.0"
"856","Kazmeir Allen","WAS","14","WR289","","","773","","","773.0"
"857","Ellis Merriweather","GB","10","RB208","","","774","","","774.0"
"858","Jordan Murray","ARI","11","TE147","","","775","","","775.0"
"859","Joel Wilson","","","TE148","","","776","","","776.0"
"860","Erick All Jr.","CIN","12","TE149","","","777","","","777.0"
"861","Tanner McLachlan","CIN","12","TE150","","","778","","","778.0"
"862","Jawhar Jordan","HOU","14","RB209","","","783","","","783.0"
"863","Keilan Robinson","JAC","12","RB210","","","784","","","784.0"
"864","Isaiah Davis","NYJ","12","RB211","","","786","","","786.0"
"865","Tip Reiman","ARI","11","TE151","","","788","","","788.0"
"866","Jordan Matthews","CAR","11","WR290","","","789","","","789.0"
"867","Nick Vannett","TEN","5","TE152","","","791","","","791.0"
"868","Nate Sudfeld","","","QB119","","","792","","","792.0"
"869","Dwayne Washington","","","RB212","","","793","","","793.0"
"870","Jeremy McNichols","WAS","14","RB213","","","794","","","794.0"
"871","Jacob Hollister","","","TE153","","","795","","","795.0"
"872","John Kelly Jr.","BAL","14","RB214","","","796","","","796.0"
"873","Anthony Miller","BAL","14","WR291","","","797","","","797.0"
"874","Jordan Thomas","","","TE154","","","800","","","800.0"
"875","Deontay Burnett","","","WR292","","","801","","","801.0"
"876","Cam Sims","","","WR293","","","802","","","802.0"
"877","Luis Perez","","","QB120","","","803","","","803.0"
"878","Alex McGough","","","QB121","","","804","","","804.0"
"879","Tim Boyle","MIA","6","QB122","","","805","","","805.0"
"880","Keith Kirkwood","BAL","14","WR294","","","806","","","806.0"
"881","Kevin Rader","NO","12","TE155","","","807","","","807.0"
"882","Malik Turner","SF","9","WR295","","","808","","","808.0"
"883","Juwann Winfree","IND","14","WR296","","","810","","","810.0"
"884","Matt Sokol","","","TE156","","","811","","","811.0"
"885","Davion Davis","","","WR297","","","812","","","812.0"
"886","Malik Taylor","NYJ","12","WR298","","","813","","","813.0"
"887","Austin Walter","","","RB215","","","815","","","815.0"
"888","Parker Hesse","DET","5","TE157","","","816","","","816.0"
"889","Marcus Simms","SEA","10","WR299","","","819","","","819.0"
"890","Mitchell Wilcox","NE","14","TE158","","","821","","","821.0"
"891","Jacob Eason","","","QB123","","","823","","","823.0"
"892","Tyler Davis","GB","10","TE159","","","824","","","824.0"
"893","Jake Luton","CAR","11","QB124","","","825","","","825.0"
"894","Cody White","SEA","10","WR300","","","826","","","826.0"
"895","Dalton Keene","HOU","14","TE160","","","827","","","827.0"
"896","Tony Jones Jr.","","","RB216","","","828","","","828.0"
"897","Austin Mack","","","WR301","","","829","","","829.0"
"898","Noah Togiai","","","TE161","","","830","","","830.0"
"899","Tommy Hudson","NO","12","TE162","","","833","","","833.0"
"900","Mason Kinsey","TEN","5","WR302","","","834","","","834.0"
"901","Chris Blair","ATL","12","WR303","","","835","","","835.0"
"902","Tarik Black","","","WR304","","","836","","","836.0"
"903","Mike Strachan","","","WR305","","","837","","","837.0"
"904","Avery Williams","ATL","12","RB217","","","838","","","838.0"
"905","Ben Mason","","","RB218","","","839","","","839.0"
"906","Shi Smith","","","WR306","","","840","","","840.0"
"907","Demetric Felton Jr.","","","RB219","","","841","","","841.0"
"908","Anthony Schwartz","MIA","6","WR307","","","842","","","842.0"
"909","Simi Fehoko","LAC","5","WR308","","","843","","","843.0"
"910","Seth Williams","","","WR309","","","844","","","844.0"
"911","Racey McMath","","","WR310","","","845","","","845.0"
"912","Jalen Camp","","","WR311","","","846","","","846.0"
"913","Gerrid Doaks","","","RB220","","","847","","","847.0"
"914","Gary Brightwell","CLE","10","RB221","","","849","","","849.0"
"915","Hunter Kampmoyer","","","TE163","","","850","","","850.0"
"916","Jaelon Darden","CLE","10","WR312","","","851","","","851.0"
"917","Nate McCrary","GB","10","RB222","","","852","","","852.0"
"918","Feleipe Franks","CAR","11","QB125","","","853","","","853.0"
"919","Austin Trammell","JAC","12","WR313","","","854","","","854.0"
"920","Kevin Austin Jr.","NO","12","WR314","","","856","","","856.0"
"921","Justin Hall","","","WR315","","","857","","","857.0"
"922","Jontre Kirklin","","","WR316","","","859","","","859.0"
"923","Grant DuBose","MIA","6","WR317","","","860","","","860.0"
"924","Colton Dowell","TEN","5","WR318","","","861","","","861.0"
"925","Evan Hull","IND","14","RB223","","","862","","","862.0"
"926","Dresser Winn","","","QB126","","","863","","","863.0"
"927","Jake Haener","NO","12","QB127","","","864","","","864.0"
"928","Sean Ryan","","","WR319","","","866","","","866.0"
"929","Robert Burns","ATL","12","RB224","","","867","","","867.0"
"930","T.J. Luther","","","WR320","","","868","","","868.0"
"931","Joseph Ngata","","","WR321","","","869","","","869.0"
"932","Carlos Washington Jr.","ATL","12","RB225","","","870","","","870.0"
"933","Jalen Wayne","GB","10","WR322","","","871","","","871.0"
"934","Jalen Moreno-Cropper","DAL","7","WR323","","","872","","","872.0"
"935","David Durden","","","WR324","","","873","","","873.0"
"936","Chase Cota","NYG","11","WR325","","","874","","","874.0"
"937","Xazavian Valladay","NYJ","12","RB226","","","875","","","875.0"
"938","Jaray Jenkins","","","WR326","","","876","","","876.0"
"939","Blake Whiteheart","CLE","10","TE164","","","877","","","877.0"
"940","Daewood Davis","","","WR327","","","878","","","878.0"
"941","Ben Sims","GB","10","TE165","","","879","","","879.0"
"942","Thayer Thomas","MIN","6","WR328","","","880","","","880.0"
"943","Malik Knowles","","","WR329","","","881","","","881.0"
"944","Cephus Johnson","III","","WR330","","","882","","","882.0"
"945","Shaquan Davis","","","WR331","","","884","","","884.0"
"946","Matt Landers","NE","14","WR332","","","885","","","885.0"
"947","Tyrell Shavers","BUF","12","WR333","","","886","","","886.0"
"948","Bryan Thompson","","","WR334","","","887","","","887.0"
"949","Kearis Jackson","","","WR335","","","888","","","888.0"
"950","Izaiah Gathings","","","TE166","","","889","","","889.0"
"951","Terrell Bynum","","","WR336","","","890","","","890.0"
"952","Tanner Taula","TB","11","TE167","","","891","","","891.0"
"953","Ryan Miller","TB","11","WR337","","","892","","","892.0"
"954","Mitchell Tinsley","WAS","14","WR338","","","893","","","893.0"
"955","La","","'Michael Pettway","","","TE168","","","894","","","894.0"
"956","Casey Washington","ATL","12","WR339","","","895","","","895.0"
"957","Anthony Gould","IND","14","WR340","","","898","","","898.0"
"958","Patrick Murtagh","","","TE169","","","899","","","899.0"
"959","Tahj Washington","MIA","6","WR341","","","900","","","900.0"
""
""
